Imagen|Tipos de Daño|Piezas del Vehículo|Sugerencia
1.jpg|['Abolladura']|['Guardabarros delantero derecho ']|['Reparar']
10.jpg|['Rotura']|['Parabrisas delantero']|['Reemplazar']
100.jpg|['Rotura', 'Deformación', 'Rotura']|['Faros derecho', 'Guardabarros delantero derecho ', 'Parachoques delantero']|['Reemplazar', 'Reparar', 'Reparar']
1000.jpg|['Rayón']|['Parachoques delantero']|['Reparar']
1001.jpg|['Fractura', 'Abolladura', 'Rotura']|['Parachoques trasero', 'Maletero', 'Luz trasera izquierdo']|['Reparar', 'Reparar', 'Reemplazar']
1002.jpg|['Abolladura']|['Guardabarros delantero derecho ']|['Reparar']
1003.jpg|['Rayón', 'Desprendimiento']|['Faros derecho', 'Parachoques delantero']|['Reemplazar', 'Reemplazar']
1004.jpg|['Rayón', 'Fractura']|['Parachoques trasero', 'Luz trasera derecho']|['Reparar', 'Reemplazar']
1005.jpg|['Abolladura']|['Parachoques trasero']|['Reparar']
1006.jpg|['Rayón']|['Guardabarros trasero derecho']|['Reparar']
1007.jpg|['Abolladura']|['Puerta trasera izquierda']|['Reparar']
1008.jpg|['Desprendimiento']|['Parachoques trasero']|['Reemplazar']
1009.jpg|['Rayón']|['Parachoques delantero']|['Reparar']
101.jpg|['Abolladura']|['Parachoques delantero']|['Reparar']
1010.jpg|['Rotura']|['Faros derecho']|['Reemplazar']
1011.jpg|['Rayón']|['Parachoques delantero']|['Reparar']
1012.jpg|['Rayón']|['Parachoques delantero']|['Reparar']
1013.jpg|['Abolladura']|['Marco de las puertas']|['Reparar']
1014.jpg|['Rayón', 'Rotura']|['Parachoques delantero', 'Luz indicadora trasera derecha']|['Reparar', 'Reemplazar']
1015.jpg|['Abolladura', 'Abolladura']|['Parachoques trasero', 'Maletero']|['Reparar', 'Reparar']
1016.jpg|['Rayón']|['Parachoques trasero']|['Reparar']
1017.jpg|['Desprendimiento', 'Abolladura', 'Abolladura', 'Rotura']|['Parachoques trasero', 'Guardabarros trasero izquierdo', 'Maletero', 'Luz trasera izquierdo']|['Reemplazar', 'Reparar', 'Reparar', 'Reemplazar']
1018.jpg|['Rayón']|['Guardabarros trasero izquierdo']|['Reparar']
1019.jpg|['Rayón']|['Guardabarros trasero izquierdo']|['Reparar']
102.jpg|['Fractura']|['Parachoques trasero']|['Reparar']
1020.jpg|['Rotura']|['Parabrisas delantero']|['Reemplazar']
1021.jpg|['Rotura']|['Parachoques trasero']|['Reparar']
1022.jpg|['Deformación']|['Guardabarros trasero izquierdo']|['Reparar']
1023.jpg|['Rotura']|['Rueda ']|['Reemplazar']
1024.jpg|['Abolladura']|['Puerta delantera izquierda']|['Reparar']
1025.jpg|['Rotura']|['Parabrisas delantero']|['Reemplazar']
1026.jpg|['Abolladura']|['Guardabarros trasero izquierdo']|['Reparar']
1027.jpg|['Rotura']|['Parabrisas delantero']|['Reemplazar']
1028.jpg|['Abolladura']|['Guardabarros trasero derecho']|['Reparar']
1029.jpg|['Rayón', 'Rotura']|['Parachoques delantero', 'Faros derecho']|['Reparar', 'Reemplazar']
